original id,AbdomenAtlas_id
KiTS23_case_00512,BDMAP_00000044
MSD-Colon_colon_128,BDMAP_00000045
TCIA-CPTAC-PDA_CPTAC-PDA-C3N-02010_0_1,BDMAP_00000046
AbdomenCT-1K_Case_00056_0000,BDMAP_00000047
TCIAColon_TCIAColon_0188_0_1,BDMAP_00000048
AbdomenCT-1K_Case_00535_0000,BDMAP_00000049
AMOS_amos_0059,BDMAP_00000050
TotalSegmentator_s1374,BDMAP_00000051
AbdomenCT-1K_Case_00162_0000,BDMAP_00000052
autoPET_PETCT_2ce074c2ea,BDMAP_00000053
TCIA-CPTAC-PDA_CPTAC-PDA-C3N-03000_0_3,BDMAP_00000054
MSD-Pancreas_pancreas_014,BDMAP_00000055
Decathlon_spleen_33,BDMAP_00000056
TCIAColon_TCIAColon_0166_0_3,BDMAP_00000057
TCIA-LDCT_LDCT-L193_0_1,BDMAP_00000058
KiTS21_img0286,BDMAP_00000059
TCIAColon_TCIAColon_0232_0_2,BDMAP_00000060
TotalSegmentator_s1348,BDMAP_00000061
KiTS21_img0017,BDMAP_00000062
TCIAColon_TCIAColon_0161_0_3,BDMAP_00000063
MSD-Liver_liver_148,BDMAP_00000064
TCIA-LDCT_LDCT-L219_0_1,BDMAP_00000065
KiTS21_img0116,BDMAP_00000066
TCIAColon_TCIAColon_0082_0_3,BDMAP_00000067
AbdomenCT-1K_Case_00799_0000,BDMAP_00000068
MSD-Colon_colon_012,BDMAP_00000069
TotalSegmentator_s0429,BDMAP_00000070
AMOS_amos_0044,BDMAP_00000071
autoPET_PETCT_5de3ac617a,BDMAP_00000072
autoPET_PETCT_ded50b1e68,BDMAP_00000073
Decathlon_lung_016,BDMAP_00000074
Decathlon_hepaticvessel_005,BDMAP_00000075
AMOS_amos_0159,BDMAP_00000076
autoPET_PETCT_6170317f2e,BDMAP_00000077
Decathlon_lung_003,BDMAP_00000078
TotalSegmentator_s0896,BDMAP_00000079
TCIAColon_TCIAColon_0286_0_3,BDMAP_00000080
autoPET_PETCT_2a78eed085,BDMAP_00000081
MSD-Colon_colon_150,BDMAP_00000082
autoPET_PETCT_61348439bf,BDMAP_00000083
Decathlon_liver_59,BDMAP_00000084
autoPET_PETCT_b2f82ed4b9,BDMAP_00000085
TCGA-BLCA_TCGA-BLCA-4Z-AA86_0_3,BDMAP_00000086
Decathlon_pancreas_346,BDMAP_00000087
autoPET_PETCT_d3dac0d1cd,BDMAP_00000088
AMOS_amos_0038,BDMAP_00000089
KiTS19-21_case_00147,BDMAP_00000090
LiTS_liver_38,BDMAP_00000091
FLARE23Val_FLARE23_Ts_0016_0000,BDMAP_00000092
Decathlon_pancreas_348,BDMAP_00000093
Decathlon_hepaticvessel_431,BDMAP_00000094
AbdomenCT-1K_Case_00773_0000,BDMAP_00000095
MSD-Colon_colon_084,BDMAP_00000096
TCIAColon_TCIAColon_0260_0_2,BDMAP_00000097
autoPET_PETCT_90ea6a6aaf,BDMAP_00000098
TCIAColon_TCIAColon_0154_0_2,BDMAP_00000099
LiTS_liver_71,BDMAP_00000100
MSD-Liver_liver_13,BDMAP_00000101
KiTS19-21_prediction_00272,BDMAP_00000102
TCIAColon_TCIAColon_0102_0_2,BDMAP_00000103
KiTS21_img0130,BDMAP_00000104
Decathlon_hepaticvessel_186,BDMAP_00000105
TCIA-CPTAC-PDA_CPTAC-PDA-C3N-03670_0_7,BDMAP_00000106
TCIAColon_TCIAColon_0195_0_4,BDMAP_00000107
TotalSegmentator_s0342,BDMAP_00000108
BTCV_img0040,BDMAP_00000109
TCIA-Pancreas-CT_PANCREAS_0021,BDMAP_00000110
Decathlon_lung_086,BDMAP_00000111
Decathlon_hepaticvessel_172,BDMAP_00000112
Decathlon_liver_113,BDMAP_00000113
TCIAColon_TCIAColon_0122_0_1,BDMAP_00000114
MSD-Hepatic_hepaticvessel_354,BDMAP_00000115
TCIA-CPTAC-PDA_CPTAC-PDA-C3N-03670_0_4,BDMAP_00000116
KiTS21_img0188,BDMAP_00000117
CT-ORG_volume-20,BDMAP_00000118
autoPET_PETCT_6604b228c6,BDMAP_00000119
autoPET_PETCT_d6a491e16d,BDMAP_00000120
MSD-Hepatic_hepaticvessel_169,BDMAP_00000121
KiTS23_case_00473,BDMAP_00000122
TCIA-CPTAC-PDA_CPTAC-PDA-C3N-01167_0_6,BDMAP_00000123
AbdomenCT-1K_Case_00002_0000,BDMAP_00000124
MSD-Pancreas_pancreas_468,BDMAP_00000125
TotalSegmentator_s0090,BDMAP_00000126
TotalSegmentator_s0899,BDMAP_00000127
KiTS21_img0270,BDMAP_00000128
KiTS19-21_prediction_00264,BDMAP_00000129
autoPET_PETCT_0f44cec2e6,BDMAP_00000130
MSD-Pancreas_pancreas_121,BDMAP_00000131
Decathlon_colon_069,BDMAP_00000132
autoPET_PETCT_442a09f90e,BDMAP_00000133
Decathlon_hepaticvessel_195,BDMAP_00000134
TCGA-STAD_TCGA-STAD-A8DU_0_2,BDMAP_00000135
TotalSegmentator_s0606,BDMAP_00000136
KiTS21_img0129,BDMAP_00000137
Decathlon_colon_166,BDMAP_00000138
KiTS21_img0233,BDMAP_00000139
MSD-Liver_liver_119,BDMAP_00000140
BTCV_img0064,BDMAP_00000141
TotalSegmentator_s0477,BDMAP_00000142
MSD-HepaticVessel_hepaticvessel_424,BDMAP_00000143
TCIAColon_TCIAColon_0242_0_2,BDMAP_00000144
TCIAColon_TCIAColon_0240_0_2,BDMAP_00000145
autoPET_PETCT_ca47fe5e7d,BDMAP_00000146
autoPET_PETCT_8eb3998417,BDMAP_00000147
TotalSegmentator_s0428,BDMAP_00000148
KiTS23_case_00460,BDMAP_00000149
TotalSegmentator_s1405,BDMAP_00000150
AMOS_amos_0288,BDMAP_00000151
MSD-Colon_colon_051,BDMAP_00000152
MSD-HepaticVessel_hepaticvessel_194,BDMAP_00000153
MSD-Pancreas_pancreas_255,BDMAP_00000154
MSD-HepaticVessel_hepaticvessel_167,BDMAP_00000155
TCIAColon_TCIAColon_0207_0_2,BDMAP_00000156
MSD-Pancreas_pancreas_306,BDMAP_00000157
TCIAColon_TCIAColon_0055_0_3,BDMAP_00000158
KiTS21_img0243,BDMAP_00000159
AMOS_amos_0231,BDMAP_00000160
KiTS23_case_00579,BDMAP_00000161
KiTS21_img0205,BDMAP_00000162
autoPET_PETCT_13f476b02b,BDMAP_00000163
TCIAColon_TCIAColon_0116_0_3,BDMAP_00000164
TotalSegmentator_s0143,BDMAP_00000165
Decathlon_lung_081,BDMAP_00000166
KiTS19-21_prediction_00292,BDMAP_00000167
TCIAColon_TCIAColon_0065_0_2,BDMAP_00000168
TCIAColon_TCIAColon_0206_0_2,BDMAP_00000169
TCIAColon_TCIAColon_0020_0_4,BDMAP_00000170
Decathlon_hepaticvessel_027,BDMAP_00000171
MSD-HepaticVessel_hepaticvessel_398,BDMAP_00000172
TCIAColon_TCIAColon_0001_0_3,BDMAP_00000173
TotalSegmentator_s0257,BDMAP_00000174
autoPET_PETCT_7a3a27371a,BDMAP_00000175
KiTS23_case_00529,BDMAP_00000176
autoPET_PETCT_d3f13dff4b,BDMAP_00000177
AbdomenCT-1K_Case_00675_0000,BDMAP_00000178
TCIAColon_TCIAColon_0132_0_2,BDMAP_00000179
TCIAColon_TCIAColon_0036_0_2,BDMAP_00000180
TCIAColon_TCIAColon_0047_0_3,BDMAP_00000181
TCIA-CPTAC-PDA_CPTAC-PDA-C3N-03430_0_13,BDMAP_00000182
TCIAColon_TCIAColon_0134_0_2,BDMAP_00000183
TotalSegmentator_s0657,BDMAP_00000184
FLARE23Val_FLARE23_Ts_0097_0000,BDMAP_00000185
CT-ORG_volume-48,BDMAP_00000186
MSD-Hepatic_hepaticvessel_355,BDMAP_00000187
NIH-Lymph_NIH-LYMPH-MED-016_0_0,BDMAP_00000188
MSD-HepaticVessel_hepaticvessel_332,BDMAP_00000189
MSD-Colon_colon_133,BDMAP_00000190
TCIAColon_TCIAColon_0046_0_2,BDMAP_00000191
Decathlon_pancreas_199,BDMAP_00000192
TCIAColon_TCIAColon_0006_0_3,BDMAP_00000193
autoPET_PETCT_80f21e1ed0,BDMAP_00000194
AMOS_amos_0214,BDMAP_00000195
autoPET_PETCT_335a00191d,BDMAP_00000196
AbdomenCT-1K_Case_00509_0000,BDMAP_00000197
TCIA-Pancreas-CT_PANCREAS_0044,BDMAP_00000198
TotalSegmentator_s1069,BDMAP_00000199
WORD_word_0139,BDMAP_00000200
Decathlon_hepaticvessel_222,BDMAP_00000201
TCIAColon_TCIAColon_0120_0_2,BDMAP_00000202
AbdomenCT-1K_Case_00708_0000,BDMAP_00000203
MSD-Hepatic_hepaticvessel_134,BDMAP_00000204
AbdomenCT-1K_Case_00070_0000,BDMAP_00000205
TotalSegmentator_s1221,BDMAP_00000206
autoPET_PETCT_b62864161e,BDMAP_00000207
CHAOS_5_image,BDMAP_00000208
AbdomenCT-1K_Case_00900_0000,BDMAP_00000209
MSD-Hepatic_hepaticvessel_012,BDMAP_00000210
AbdomenCT-1K_Case_00791_0000,BDMAP_00000211
autoPET_PETCT_a8a5e96821,BDMAP_00000212
autoPET_PETCT_05d5a79faf,BDMAP_00000213
WORD_word_0029,BDMAP_00000214
FLARE23Val_FLARE23_Ts_0036_0000,BDMAP_00000215
MSD-HepaticVessel_hepaticvessel_303,BDMAP_00000216
TotalSegmentator_s0182,BDMAP_00000217
TCIAColon_TCIAColon_0063_0_3,BDMAP_00000218
KiTS23_case_00523,BDMAP_00000219
BTCV_img0009,BDMAP_00000220
FLARE23Val_FLARE23_Ts_0064_0000,BDMAP_00000221
TotalSegmentator_s0394,BDMAP_00000222
MSD-Colon_colon_200,BDMAP_00000223
AbdomenCT-1K_Case_00762_0000,BDMAP_00000224
Decathlon_pancreas_370,BDMAP_00000225
MSD-Colon_colon_156,BDMAP_00000226
TotalSegmentator_s0344,BDMAP_00000227
AbdomenCT-1K_Case_00029_0000,BDMAP_00000228
KiTS21_img0070,BDMAP_00000229
TCIAColon_TCIAColon_0256_0_3,BDMAP_00000230
autoPET_PETCT_07fec0d985,BDMAP_00000231
LiTS_liver_81,BDMAP_00000232
KiTS23_case_00472,BDMAP_00000233
autoPET_PETCT_24cb79a92b,BDMAP_00000234
Decathlon_lung_054,BDMAP_00000235
MSD-Pancreas_pancreas_301,BDMAP_00000236
autoPET_PETCT_5e0bc6cdda,BDMAP_00000237
TCIAColon_TCIAColon_0154_0_3,BDMAP_00000238
Decathlon_hepaticvessel_032,BDMAP_00000239
KiTS23_case_00412,BDMAP_00000240
KiTS23_case_00566,BDMAP_00000241
autoPET_PETCT_2946d59a94,BDMAP_00000242
Decathlon_pancreas_241,BDMAP_00000243
KiTS21_img0299,BDMAP_00000244
KiTS23_case_00400,BDMAP_00000245
TCIA-Pancreas-CT_PANCREAS_0040,BDMAP_00000246
MSD-Liver_liver_77,BDMAP_00000247
TCIAColon_TCIAColon_0225_0_3,BDMAP_00000248
KiTS19-21_prediction_00293,BDMAP_00000249
TCIA-CPTAC-UCEC_CPTAC-UCEC-C3L-01732_0_1,BDMAP_00000250
MSD-Pancreas_pancreas_494,BDMAP_00000251
WORD_word_0123,BDMAP_00000252
autoPET_PETCT_e00c98b415,BDMAP_00000253
AMOS_amos_0348,BDMAP_00000254
Decathlon_hepaticvessel_071,BDMAP_00000255
FLARE23Val_FLARE23_Ts_0014_0000,BDMAP_00000256
AMOS_amos_0115,BDMAP_00000257
MSD-HepaticVessel_hepaticvessel_189,BDMAP_00000258
KiTS23_case_00584,BDMAP_00000259
autoPET_PETCT_d6de1252d9,BDMAP_00000260
FLARE23Val_FLARE23_Ts_0080_0000,BDMAP_00000261
NIH-Lymph_NIH-LYMPH-MED-003_0_0,BDMAP_00000262
KiTS21_img0174,BDMAP_00000263
MSD-Colon_colon_092,BDMAP_00000264
autoPET_PETCT_aa27cb9156,BDMAP_00000265
autoPET_PETCT_c3cc732d95,BDMAP_00000266
TotalSegmentator_s1337,BDMAP_00000267
MSD-Hepatic_hepaticvessel_418,BDMAP_00000268
autoPET_PETCT_072833774e,BDMAP_00000269
Decathlon_hepaticvessel_139,BDMAP_00000270
TCIA-CPTAC-PDA_CPTAC-PDA-C3N-02997_0_5,BDMAP_00000271
AMOS_amos_0152,BDMAP_00000272
Decathlon_liver_40,BDMAP_00000273
autoPET_PETCT_49f3d297b0,BDMAP_00000274
TotalSegmentator_s1210,BDMAP_00000275
autoPET_PETCT_baacf43b4f,BDMAP_00000276
autoPET_PETCT_f60ea3abc5,BDMAP_00000277
Decathlon_hepaticvessel_378,BDMAP_00000278
KiTS21_img0054,BDMAP_00000279
AbdomenCT-1K_Case_00853_0000,BDMAP_00000280
autoPET_PETCT_0223010e46,BDMAP_00000281
TCIAColon_TCIAColon_0139_0_0,BDMAP_00000282
CT-ORG_volume-111,BDMAP_00000283
AbdomenCT-1K_Case_00910_0000,BDMAP_00000284
KiTS23_case_00487,BDMAP_00000285
autoPET_PETCT_4c670a5445,BDMAP_00000286
AbdomenCT-1K_Case_00951_0000,BDMAP_00000287
TotalSegmentator_s0620,BDMAP_00000288
TCIAColon_TCIAColon_0021_0_1,BDMAP_00000289
TCIA-CPTAC-PDA_CPTAC-PDA-C3N-03430_1_8,BDMAP_00000290
AMOS_amos_0103,BDMAP_00000291
CT-ORG_volume-86,BDMAP_00000292
TCIA-CPTAC-CCRCC_CPTAC-CCRCC-C3N-00312_0_4,BDMAP_00000293
autoPET_PETCT_69ee62b035,BDMAP_00000294
TCIAColon_TCIAColon_0060_0_0,BDMAP_00000295
TCIAColon_TCIAColon_0119_0_2,BDMAP_00000296
KiTS23_case_00432,BDMAP_00000297
TotalSegmentator_s0721,BDMAP_00000298
MSD-Hepatic_hepaticvessel_037,BDMAP_00000299
autoPET_PETCT_f47e31ceb5,BDMAP_00000300
autoPET_PETCT_47f4460050,BDMAP_00000301
TotalSegmentator_s0330,BDMAP_00000302
TCIAColon_TCIAColon_0114_0_3,BDMAP_00000303
KiTS21_img0112,BDMAP_00000304
autoPET_PETCT_cf20ad1656,BDMAP_00000305
MSD-Liver_liver_191,BDMAP_00000306
TCIAColon_TCIAColon_0158_0_2,BDMAP_00000307
TotalSegmentator_s0752,BDMAP_00000308
FLARE23Val_FLARE23_Ts_0090_0000,BDMAP_00000309
Decathlon_hepaticvessel_181,BDMAP_00000310
autoPET_PETCT_6d62e15c29,BDMAP_00000311
WORD_word_0073,BDMAP_00000312
Decathlon_hepaticvessel_300,BDMAP_00000313
AMOS_amos_0404,BDMAP_00000314
TotalSegmentator_s0243,BDMAP_00000315
MSD-Hepatic_hepaticvessel_326,BDMAP_00000316
autoPET_PETCT_f4813007a0,BDMAP_00000317
autoPET_PETCT_080922db5a,BDMAP_00000318
KiTS21_img0230,BDMAP_00000319
KiTS23_case_00461,BDMAP_00000320
KiTS21_img0109,BDMAP_00000321
MSD-Hepatic_hepaticvessel_457,BDMAP_00000322
TCIAColon_TCIAColon_0241_0_3,BDMAP_00000323
Decathlon_pancreas_355,BDMAP_00000324
MSD-HepaticVessel_hepaticvessel_175,BDMAP_00000325
AMOS_amos_0332,BDMAP_00000326
TCGA-OV_TCGA-OV-61-1901_1_1,BDMAP_00000327
MSD-Pancreas_pancreas_432,BDMAP_00000328
KiTS23_case_00481,BDMAP_00000329
autoPET_PETCT_e344879c2e,BDMAP_00000330
KiTS21_img0182,BDMAP_00000331
Decathlon_pancreas_104,BDMAP_00000332
autoPET_PETCT_f5cff2e59d,BDMAP_00000333
autoPET_PETCT_f21755a99b,BDMAP_00000334
TotalSegmentator_s1368,BDMAP_00000335
KiTS19-21_prediction_00235,BDMAP_00000336
TCIAColon_TCIAColon_0077_0_2,BDMAP_00000337
MSD-Pancreas_pancreas_091,BDMAP_00000338
TCIAColon_TCIAColon_0084_0_4,BDMAP_00000339
autoPET_PETCT_dd887591a9,BDMAP_00000340
TotalSegmentator_s0663,BDMAP_00000341
AMOS_amos_0064,BDMAP_00000342
autoPET_PETCT_b1219c408b,BDMAP_00000343
TCIAColon_TCIAColon_0079_0_3,BDMAP_00000344
Decathlon_colon_103,BDMAP_00000345
FLARE23Val_FLARE23_Ts_0047_0000,BDMAP_00000346
Decathlon_liver_95,BDMAP_00000347
autoPET_PETCT_1f6b6b0548,BDMAP_00000348
TotalSegmentator_s0884,BDMAP_00000349
AbdomenCT-1K_Case_00766_0000,BDMAP_00000350
TCIA-Pancreas-CT_PANCREAS_0048,BDMAP_00000351
TotalSegmentator_s0206,BDMAP_00000352
KiTS21_img0297,BDMAP_00000353
TCIAColon_TCIAColon_0146_0_3,BDMAP_00000354
KiTS21_img0141,BDMAP_00000355
KiTS19-21_prediction_00218,BDMAP_00000356
autoPET_PETCT_274688d0a8,BDMAP_00000357
autoPET_PETCT_277fc3c67c,BDMAP_00000358
KiTS19-21_case_00051,BDMAP_00000359
TCIA-CPTAC-PDA_CPTAC-PDA-C3N-01383_0_5,BDMAP_00000360
TotalSegmentator_s0293,BDMAP_00000361
LiTS_liver_6,BDMAP_00000362
NIH-Lymph_NIH-LYMPH-ABD-077_0_0,BDMAP_00000363
KiTS23_case_00548,BDMAP_00000364
autoPET_PETCT_72ee9ec897,BDMAP_00000365
KiTS21_img0197,BDMAP_00000366
TCIAColon_TCIAColon_0192_0_0,BDMAP_00000367
KiTS21_img0115,BDMAP_00000368
AbdomenCT-1K_Case_00809_0000,BDMAP_00000369
autoPET_PETCT_816732638d,BDMAP_00000370
TotalSegmentator_s1183,BDMAP_00000371
WORD_word_0066,BDMAP_00000372
Decathlon_colon_141,BDMAP_00000373
autoPET_PETCT_956520090b,BDMAP_00000374
KiTS19-21_case_00065,BDMAP_00000375
autoPET_PETCT_2b8064fbe2,BDMAP_00000376
Decathlon_hepaticvessel_081,BDMAP_00000377
TCIAColon_TCIAColon_0082_0_2,BDMAP_00000378
autoPET_PETCT_dadcd69ba9,BDMAP_00000379
MSD-Hepatic_hepaticvessel_114,BDMAP_00000380
Decathlon_lung_083,BDMAP_00000381
TCIA-CPTAC-CCRCC_CPTAC-CCRCC-C3L-01954_3_5,BDMAP_00000382
MSD-Colon_colon_110,BDMAP_00000383
AMOS_amos_0376,BDMAP_00000384
WORD_word_0140,BDMAP_00000385
CHAOS_26_image,BDMAP_00000386
MSD-Hepatic_hepaticvessel_347,BDMAP_00000387
AbdomenCT-1K_Case_00153_0000,BDMAP_00000388
autoPET_PETCT_2716c9bfff,BDMAP_00000389
TotalSegmentator_s0607,BDMAP_00000390
TCIA-CPTAC-PDA_CPTAC-PDA-C3N-01715_0_6,BDMAP_00000391
TotalSegmentator_s0709,BDMAP_00000392
TCIAColon_TCIAColon_0280_0_1,BDMAP_00000393
FLARE23Val_FLARE23_Ts_0037_0000,BDMAP_00000394
AbdomenCT-1K_Case_00206_0000,BDMAP_00000395
FLARE23Val_FLARE23_Ts_0043_0000,BDMAP_00000396
TCIAColon_TCIAColon_0040_0_0,BDMAP_00000397
autoPET_PETCT_b509ace2a2,BDMAP_00000398
AbdomenCT-1K_Case_01050_0000,BDMAP_00000399
LiTS_liver_100,BDMAP_00000400
TCIAColon_TCIAColon_0153_0_3,BDMAP_00000401
NIH-Lymph_NIH-LYMPH-ABD-082_0_0,BDMAP_00000402
autoPET_PETCT_4095c12e2d,BDMAP_00000403
TCIAColon_TCIAColon_0295_0_6,BDMAP_00000404
FLARE23Val_FLARE23_Ts_0001_0000,BDMAP_00000405
autoPET_PETCT_5ac4fd9091,BDMAP_00000406
TCIAColon_TCIAColon_0267_0_3,BDMAP_00000407
CT-ORG_volume-103,BDMAP_00000408
MSD-Hepatic_hepaticvessel_220,BDMAP_00000409
AbdomenCT-1K_Case_00413_0000,BDMAP_00000410
MSD-Pancreas_pancreas_069,BDMAP_00000411
TCIAColon_TCIAColon_0158_0_3,BDMAP_00000412
AbdomenCT-1K_Case_00278_0000,BDMAP_00000413
KiTS21_img0037,BDMAP_00000414
MSD-HepaticVessel_hepaticvessel_285,BDMAP_00000415
Decathlon_pancreas_209,BDMAP_00000416
autoPET_PETCT_4f7a8f41c0,BDMAP_00000417
AbdomenCT-1K_Case_00795_0000,BDMAP_00000418
TCIAColon_TCIAColon_0226_0_3,BDMAP_00000419
AMOS_amos_0135,BDMAP_00000420
MSD-Pancreas_pancreas_428,BDMAP_00000421
FLARE23Val_FLARE23_Ts_0022_0000,BDMAP_00000422
WORD_word_0138,BDMAP_00000423
MSD-Pancreas_pancreas_482,BDMAP_00000424
TCIAColon_TCIAColon_0055_0_2,BDMAP_00000425
TotalSegmentator_s0903,BDMAP_00000426
MSD-Pancreas_pancreas_320,BDMAP_00000427
KiTS19-21_prediction_00278,BDMAP_00000428
KiTS23_case_00530,BDMAP_00000429
MSD-Pancreas_pancreas_106,BDMAP_00000430
MSD-Pancreas_pancreas_377,BDMAP_00000431
KiTS21_img0149,BDMAP_00000432
AbdomenCT-1K_Case_00576_0000,BDMAP_00000433
KiTS23_case_00541,BDMAP_00000434
KiTS23_case_00463,BDMAP_00000435
MSD-HepaticVessel_hepaticvessel_193,BDMAP_00000436
Decathlon_liver_126,BDMAP_00000437
AbdomenCT-1K_Case_00319_0000,BDMAP_00000438
KiTS21_img0145,BDMAP_00000439
MSD-Hepatic_hepaticvessel_439,BDMAP_00000440
MSD-Pancreas_pancreas_189,BDMAP_00000441
AbdomenCT-1K_Case_00756_0000,BDMAP_00000442
AMOS_amos_0362,BDMAP_00000443
MSD-Hepatic_hepaticvessel_247,BDMAP_00000444
TCIA-CPTAC-CCRCC_CPTAC-CCRCC-C3L-00799_0_2,BDMAP_00000445
autoPET_PETCT_a4cb97ffc7,BDMAP_00000446
MSD-Pancreas_pancreas_379,BDMAP_00000447
TotalSegmentator_s0667,BDMAP_00000448
KiTS21_img0135,BDMAP_00000449
MSD-Hepatic_hepaticvessel_460,BDMAP_00000450
autoPET_PETCT_d51664a9e4,BDMAP_00000451
KiTS21_img0062,BDMAP_00000452
MSD-Hepatic_hepaticvessel_312,BDMAP_00000453
autoPET_PETCT_5bd311a5e9,BDMAP_00000454
TCIAColon_TCIAColon_0296_0_6,BDMAP_00000455
TotalSegmentator_s1314,BDMAP_00000456
MSD-HepaticVessel_hepaticvessel_070,BDMAP_00000457
KiTS19-21_case_00096,BDMAP_00000458
autoPET_PETCT_01682f60c3,BDMAP_00000459
MSD-Pancreas_pancreas_139,BDMAP_00000460
Decathlon_lung_075,BDMAP_00000461
AbdomenCT-1K_Case_00623_0000,BDMAP_00000462
AbdomenCT-1K_Case_01012_0000,BDMAP_00000463
MSD-HepaticVessel_hepaticvessel_141,BDMAP_00000464
KiTS21_img0199,BDMAP_00000465
MSD-HepaticVessel_hepaticvessel_083,BDMAP_00000466
TotalSegmentator_s0252,BDMAP_00000467
WORD_word_0113,BDMAP_00000468
KiTS21_img0082,BDMAP_00000469
MSD-Pancreas_pancreas_088,BDMAP_00000470
autoPET_PETCT_6c23f2686d,BDMAP_00000471
AbdomenCT-1K_Case_00921_0000,BDMAP_00000472
Decathlon_lung_033,BDMAP_00000473
WORD_word_0038,BDMAP_00000474
autoPET_PETCT_e2309b8f92,BDMAP_00000475
MSD-HepaticVessel_hepaticvessel_238,BDMAP_00000476
autoPET_PETCT_d4a08e4bde,BDMAP_00000477
AMOS_amos_0390,BDMAP_00000478
AMOS_amos_0078,BDMAP_00000479
LiTS_liver_69,BDMAP_00000480
KiTS21_img0221,BDMAP_00000481
autoPET_PETCT_2f587d00b1,BDMAP_00000482
WORD_word_0100,BDMAP_00000483
AMOS_amos_0350,BDMAP_00000484
AMOS_amos_0058,BDMAP_00000485
autoPET_PETCT_be0d3c767e,BDMAP_00000486
KiTS21_img0081,BDMAP_00000487
TCIAColon_TCIAColon_0124_0_2,BDMAP_00000488
AbdomenCT-1K_Case_00968_0000,BDMAP_00000489
MSD-Pancreas_pancreas_463,BDMAP_00000490
AbdomenCT-1K_Case_00054_0000,BDMAP_00000491
TCIAColon_TCIAColon_0079_0_2,BDMAP_00000492
MSD-Pancreas_pancreas_141,BDMAP_00000493
MSD-Colon_colon_049,BDMAP_00000494
BTCV_img0023,BDMAP_00000495
CHAOS_19_image,BDMAP_00000496
autoPET_PETCT_fde79b6aa9,BDMAP_00000497
TCIA-CPTAC-PDA_CPTAC-PDA-C3N-01166_0_3,BDMAP_00000498
autoPET_PETCT_91cfa804b0,BDMAP_00000499
MSD-Hepatic_hepaticvessel_450,BDMAP_00000500
TCIAColon_TCIAColon_0111_0_3,BDMAP_00000501
TCIAColon_TCIAColon_0180_0_3,BDMAP_00000502
AbdomenCT-1K_Case_00849_0000,BDMAP_00000503
AbdomenCT-1K_Case_00050_0000,BDMAP_00000504
KiTS19-21_case_00081,BDMAP_00000505
TCGA-BLCA_TCGA-BLCA-4Z-AA80_0_2,BDMAP_00000506
TotalSegmentator_s1028,BDMAP_00000507
AbdomenCT-1K_Case_00729_0000,BDMAP_00000508
TCIAColon_TCIAColon_0174_0_4,BDMAP_00000509
TCIAColon_TCIAColon_0184_0_3,BDMAP_00000510
KiTS21_img0060,BDMAP_00000511
TCIA-CPTAC-PDA_CPTAC-PDA-C3N-03670_0_3,BDMAP_00000512
Decathlon_hepaticvessel_023,BDMAP_00000513
MSD-HepaticVessel_hepaticvessel_111,BDMAP_00000514
TCIAColon_TCIAColon_0203_0_3,BDMAP_00000515
KiTS21_img0073,BDMAP_00000516
autoPET_PETCT_c9f1b9980f,BDMAP_00000517
